               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  68,           0.0083056,           0.0060685,          0.00016118,             0.99455,             0.99791,               0.995,             0.83924,           0.0046338,           0.0020522,          8.0276e-05,            0.003367,            0.003367,            0.003367
                  69,            0.012589,           0.0060958,          0.00014787,             0.99456,                   1,               0.995,             0.87939,           0.0036651,           0.0018336,          7.8225e-05,            0.003268,            0.003268,            0.003268
                  70,            0.011608,           0.0059342,          0.00016077,              0.9916,              0.9943,               0.995,             0.86345,           0.0041196,           0.0019812,          7.2455e-05,            0.003169,            0.003169,            0.003169
                  71,            0.014158,           0.0058812,          0.00020692,             0.99797,             0.96154,              0.9925,             0.81015,           0.0046167,           0.0022343,          9.1386e-05,             0.00307,             0.00307,             0.00307
                  72,            0.010415,           0.0059826,          0.00014252,             0.98737,             0.99611,               0.995,             0.85277,            0.004214,           0.0021038,          9.1457e-05,            0.002971,            0.002971,            0.002971
                  73,            0.011366,            0.006071,          0.00019034,             0.99856,             0.92267,              0.9232,             0.66665,           0.0060111,           0.0024545,          0.00056195,            0.002872,            0.002872,            0.002872
                  74,           0.0099418,           0.0057543,          0.00014625,             0.99139,             0.95438,             0.97569,             0.78242,            0.004942,           0.0021419,          8.4209e-05,            0.002773,            0.002773,            0.002773
                  75,             0.01372,           0.0057586,          0.00012764,             0.99819,             0.94583,             0.96078,             0.81525,           0.0040564,           0.0020402,          9.1481e-05,            0.002674,            0.002674,            0.002674
                  76,            0.010967,           0.0059166,          0.00012655,              0.9806,             0.95928,             0.98133,             0.84149,           0.0044278,           0.0021222,          6.9642e-05,            0.002575,            0.002575,            0.002575
                  77,           0.0088167,           0.0056502,          0.00012497,              0.9775,             0.99691,               0.995,             0.83602,           0.0043413,            0.001928,          5.8889e-05,            0.002476,            0.002476,            0.002476
                  78,            0.013615,           0.0058037,           0.0009538,             0.98714,                   1,             0.99458,             0.86906,           0.0041079,           0.0020242,          6.2323e-05,            0.002377,            0.002377,            0.002377
                  79,            0.010031,           0.0059233,          0.00012448,             0.98802,             0.99756,             0.99492,             0.85372,           0.0040906,            0.001923,          6.3181e-05,            0.002278,            0.002278,            0.002278
                  80,           0.0094386,           0.0056845,          0.00010904,             0.98628,             0.95968,             0.97379,              0.8251,           0.0042058,           0.0020739,          0.00022091,            0.002179,            0.002179,            0.002179
                  81,            0.011202,           0.0055306,          0.00012653,             0.98877,             0.96154,             0.99033,             0.85376,           0.0038931,           0.0021321,          5.5182e-05,             0.00208,             0.00208,             0.00208
                  82,            0.012673,           0.0057113,          0.00013469,             0.98206,              0.9975,             0.99492,              0.8709,           0.0037023,           0.0020516,          4.9961e-05,            0.001981,            0.001981,            0.001981
                  83,            0.010286,           0.0056104,          0.00016389,             0.98673,             0.99171,             0.99492,              0.8434,           0.0038101,            0.002124,          4.5049e-05,            0.001882,            0.001882,            0.001882
                  84,            0.010019,           0.0056808,          0.00010098,              0.9885,             0.99693,             0.99492,             0.87176,           0.0035662,           0.0019905,          4.6861e-05,            0.001783,            0.001783,            0.001783
                  85,            0.013892,           0.0059038,          0.00013498,             0.98579,                   1,               0.995,             0.86187,           0.0037181,           0.0018936,          4.4405e-05,            0.001684,            0.001684,            0.001684
                  86,           0.0080678,           0.0054945,          8.2326e-05,             0.98829,                   1,               0.995,              0.8857,           0.0035366,           0.0018317,          3.7563e-05,            0.001585,            0.001585,            0.001585
                  87,            0.012787,           0.0053625,          0.00010291,             0.99381,                   1,               0.995,             0.87068,           0.0037658,           0.0019044,          3.6228e-05,            0.001486,            0.001486,            0.001486
                  88,            0.010844,           0.0057868,          0.00010524,             0.98876,                   1,               0.995,             0.89083,           0.0033104,           0.0018631,          3.5596e-05,            0.001387,            0.001387,            0.001387
                  89,            0.010785,           0.0056442,           7.537e-05,             0.98491,             0.99695,             0.99458,             0.85908,           0.0038065,           0.0019393,          3.2783e-05,            0.001288,            0.001288,            0.001288
                  90,           0.0097915,           0.0056109,          7.7308e-05,             0.98529,             0.99739,             0.99458,             0.87268,            0.003689,           0.0020024,          2.6876e-05,            0.001189,            0.001189,            0.001189
                  91,            0.010444,           0.0053982,          6.8001e-05,             0.98766,                   1,             0.99492,              0.8669,           0.0036407,           0.0019675,          2.9039e-05,             0.00109,             0.00109,             0.00109
                  92,           0.0094335,           0.0056798,          7.7625e-05,             0.98713,                   1,             0.99492,              0.8814,           0.0036369,           0.0019765,          2.4885e-05,            0.000991,            0.000991,            0.000991
                  93,           0.0082895,            0.005587,          6.4607e-05,              0.9874,                   1,               0.995,             0.88607,           0.0035664,           0.0019393,          2.3574e-05,            0.000892,            0.000892,            0.000892
                  94,            0.011587,           0.0054608,          7.9941e-05,             0.98763,                   1,             0.99492,             0.88069,           0.0035237,           0.0020263,          2.5231e-05,            0.000793,            0.000793,            0.000793
                  95,           0.0098202,           0.0053084,          6.0686e-05,             0.98728,                   1,             0.99492,             0.88269,           0.0035656,           0.0018708,           2.799e-05,            0.000694,            0.000694,            0.000694
                  96,            0.015737,             0.00532,          8.0583e-05,             0.98776,                   1,             0.99492,             0.88476,            0.003556,           0.0018536,          2.7114e-05,            0.000595,            0.000595,            0.000595
                  97,           0.0095797,           0.0052864,          6.4195e-05,             0.98858,                   1,             0.99492,             0.88694,           0.0034611,           0.0017907,          2.4259e-05,            0.000496,            0.000496,            0.000496
                  98,             0.01076,           0.0054169,          8.2401e-05,             0.98777,                   1,             0.99492,             0.88232,           0.0036409,           0.0018657,          2.4754e-05,            0.000397,            0.000397,            0.000397
                  99,           0.0078427,           0.0054647,          0.00011053,             0.98723,                   1,             0.99492,               0.882,           0.0036464,           0.0018665,          2.4629e-05,            0.000298,            0.000298,            0.000298
