               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  59,            0.019666,           0.0071488,             0.01653,             0.80961,             0.80561,             0.85519,              0.4653,            0.020981,           0.0053355,            0.014752,            0.004258,            0.004258,            0.004258
                  60,            0.018825,           0.0072427,            0.016295,             0.81697,             0.74152,              0.8089,             0.44862,            0.021439,           0.0054721,            0.017895,            0.004159,            0.004159,            0.004159
                  61,            0.018263,           0.0070047,             0.01496,              0.8589,             0.77099,             0.85511,             0.43873,             0.02245,           0.0055259,            0.013974,             0.00406,             0.00406,             0.00406
                  62,            0.019608,           0.0071709,            0.015798,             0.79136,             0.73543,             0.80181,             0.40657,            0.022497,           0.0054865,              0.0121,            0.003961,            0.003961,            0.003961
                  63,            0.017507,           0.0073355,            0.015871,             0.79421,             0.65622,             0.75883,             0.37287,            0.023379,           0.0060693,            0.011991,            0.003862,            0.003862,            0.003862
                  64,            0.019258,           0.0075258,            0.015424,             0.70795,             0.66256,             0.69636,             0.35469,            0.024014,           0.0061569,            0.012898,            0.003763,            0.003763,            0.003763
                  65,            0.019736,           0.0069919,            0.015989,             0.65426,             0.69251,             0.67381,             0.32968,            0.024693,           0.0061568,             0.01215,            0.003664,            0.003664,            0.003664
                  66,            0.017982,           0.0070883,            0.014161,             0.83498,             0.74553,             0.82928,             0.43769,            0.022086,           0.0055727,            0.011388,            0.003565,            0.003565,            0.003565
                  67,            0.017855,           0.0069335,            0.016705,              0.8159,             0.78085,             0.83854,             0.43027,            0.022173,           0.0054291,            0.012467,            0.003466,            0.003466,            0.003466
                  68,            0.018412,           0.0071181,            0.015456,             0.76903,             0.74677,             0.78087,             0.38597,            0.025532,           0.0057172,            0.012911,            0.003367,            0.003367,            0.003367
                  69,            0.020196,           0.0068917,            0.014346,             0.83831,             0.80545,             0.85722,             0.43118,            0.022193,           0.0056246,             0.01118,            0.003268,            0.003268,            0.003268
                  70,            0.018494,           0.0068839,            0.014757,             0.83796,             0.77667,              0.8747,             0.47631,            0.020216,           0.0050755,           0.0081941,            0.003169,            0.003169,            0.003169
                  71,            0.017936,           0.0068198,            0.014674,             0.79822,             0.71976,             0.82029,             0.43931,            0.021768,           0.0051387,            0.016031,             0.00307,             0.00307,             0.00307
